title,median_salary
Intellectual Property Associate (246215),535600000.0
"Case Manager RN, Pedi Rheumatology",362408800.0
Cloud Domain Architect,286000000.0
Billing Supervisor (246521),260000000.0
Manager - Clinical Applications Support - Ancillary Systems,230423440.0
Trial Paralegal - Hybrid in OC or LA!,187200000.0
DCS Technician,156000000.0
Full Time Field Service Technician – Anaheim/Pomona Area,135200000.0
Sales Representative- Entry Level ($50k base + commission),124800000.0
Sharepoint Developer,114454600.0
